Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"NEUROD1","Neuronal Differentiation 1","Protein Coding","43","GC02M181673","43.9102020263672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROD1"
"SLC30A8","Solute Carrier Family 30 Member 8","Protein Coding","41","GC08P116950","42.1447601318359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A8"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","44","GC03P186842","42.0420837402344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"TCF7L2","Transcription Factor 7 Like 2","Protein Coding","45","GC10P112950","42.0023574829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2"
"IDE","Insulin Degrading Enzyme","Protein Coding","46","GC10M092451","40.4386787414551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","49","GC05P068215","39.866382598877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"SLC2A2","Solute Carrier Family 2 Member 2","Protein Coding","48","GC03M170996","39.0499000549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A2"
"IGFBP5","Insulin Like Growth Factor Binding Protein 5","Protein Coding","41","GC02M216672","38.9902687072754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP5"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","48","GC06P131808","38.7695045471191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","49","GC20P050510","38.763744354248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"FOXP3","Forkhead Box P3","Protein Coding","45","GC0XM049250","38.6449165344238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"IGFBP4","Insulin Like Growth Factor Binding Protein 4","Protein Coding","42","GC17P040443","38.2104644775391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP4"
"WFS1","Wolframin ER Transmembrane Glycoprotein","Protein Coding","45","GC04P006260","36.9563751220703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WFS1"
"GCG","Glucagon","Protein Coding","41","GC02M162142","36.1975784301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"HNF1B","HNF1 Homeobox B","Protein Coding","42","GC17M037686","35.4960823059082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"INS-IGF2","INS-IGF2 Readthrough","Protein Coding","27","GC11M002522","35.4522361755371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS-IGF2"
"TNF","Tumor Necrosis Factor","Protein Coding","50","GC06P073386","34.9749145507813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IGFBP6","Insulin Like Growth Factor Binding Protein 6","Protein Coding","42","GC12P053097","34.0420684814453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP6"
"LMNA","Lamin A/C","Protein Coding","48","GC01P156082","33.9758071899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"IGFALS","Insulin Like Growth Factor Binding Protein Acid Labile Subunit","Protein Coding","44","GC16M001790","33.8349952697754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFALS"
"TBC1D4","TBC1 Domain Family Member 4","Protein Coding","43","GC13M075284","33.4514427185059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D4"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","46","GC06P159969","33.4280738830566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R"
"MTNR1B","Melatonin Receptor 1B","Protein Coding","45","GC11P092969","33.1274185180664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTNR1B"
"PPP1R3A","Protein Phosphatase 1 Regulatory Subunit 3A","Protein Coding","42","GC07M113876","31.6003837585449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3A"
"LIPC","Lipase C, Hepatic Type","Protein Coding","45","GC15P058410","30.6605587005615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","51","GC14M104769","30.2315406799316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"GHR","Growth Hormone Receptor","Protein Coding","45","GC05P042429","30.0283164978027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","44","GC02P203867","28.7305126190186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","49","GC10M006010","28.3868522644043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"PTPN22","Protein Tyrosine Phosphatase Non-Receptor Type 22","Protein Coding","46","GC01M113813","28.3170070648193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22"
"IRS4","Insulin Receptor Substrate 4","Protein Coding","40","GC0XM108720","28.3072071075439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS4"
"CAPN10","Calpain 10","Protein Coding","41","GC02P240586","28.0032138824463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN10"
"IGFBP7","Insulin Like Growth Factor Binding Protein 7","Protein Coding","45","GC04M057030","27.6569862365723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP7"
"CRP","C-Reactive Protein","Protein Coding","45","GC01M159724","27.584888458252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"CAV1","Caveolin 1","Protein Coding","46","GC07P116524","27.1819686889648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1"
"MAPK8IP1","Mitogen-Activated Protein Kinase 8 Interacting Protein 1","Protein Coding","45","GC11P046338","27.0873394012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1"
"SST","Somatostatin","Protein Coding","41","GC03M187668","26.1284198760986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","42","GC03M010285","25.5735874176025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"INSL3","Insulin Like 3","Protein Coding","40","GC19M017816","25.1023101806641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL3"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","41","GC17P007613","25.0101871490479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"APPL1","Adaptor Protein, Phosphotyrosine Interacting With PH Domain And Leucine Zipper 1","Protein Coding","44","GC03P057227","24.6545677185059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APPL1"
"ALB","Albumin","Protein Coding","48","GC04P073397","24.4485492706299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"INSRR","Insulin Receptor Related Receptor","Protein Coding","42","GC01M156840","24.3010559082031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSRR"
"LEPR","Leptin Receptor","Protein Coding","49","GC01P065421","24.0822353363037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","50","GC17P063477","23.9815483093262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"HMGA1","High Mobility Group AT-Hook 1","Protein Coding","45","GC06P073518","23.8641891479492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1"
"BLK","BLK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","49","GC08P011486","23.5736923217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLK"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","46","GC19M042401","23.0494956970215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"BSCL2","BSCL2 Lipid Droplet Biogenesis Associated, Seipin","Protein Coding","42","GC11M082132","22.9604969024658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSCL2"
"AGPAT2","1-Acylglycerol-3-Phosphate O-Acyltransferase 2","Protein Coding","45","GC09M136673","22.9042110443115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPAT2"
"MIR29A","MicroRNA 29a","RNA Gene","22","GC07M130876","22.2737045288086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"GPD2","Glycerol-3-Phosphate Dehydrogenase 2","Protein Coding","45","GC02P156435","22.1335372924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD2"
"UCP2","Uncoupling Protein 2","Protein Coding","45","GC11M073974","22.1285610198975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","50","GC17M042313","22.0038433074951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"SHC1","SHC Adaptor Protein 1","Protein Coding","44","GC01M154962","21.9639301300049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHC1"
"ESR1","Estrogen Receptor 1","Protein Coding","51","GC06P151656","21.8869304656982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","49","GC07P101127","21.8561229705811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"MAFA","MAF BZIP Transcription Factor A","Protein Coding","41","GC08M143419","21.8528900146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFA"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","50","GC22M021759","21.7101287841797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"BAIAP2L1","BAR/IMD Domain Containing Adaptor Protein 2 Like 1","Protein Coding","38","GC07M098294","21.3795604705811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP2L1"
"KLF11","Kruppel Like Factor 11","Protein Coding","39","GC02P010044","21.2663650512695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF11"
"PRL","Prolactin","Protein Coding","42","GC06M022287","21.1338787078857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL"
"PTPRN","Protein Tyrosine Phosphatase Receptor Type N","Protein Coding","44","GC02M219289","20.9310035705566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRN"
"RBP4","Retinol Binding Protein 4","Protein Coding","44","GC10M093591","20.9126815795898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4"
"IAPP","Islet Amyloid Polypeptide","Protein Coding","41","GC12P021354","20.8488006591797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IAPP"
"INSIG2","Insulin Induced Gene 2","Protein Coding","39","GC02P118088","20.6061859130859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSIG2"
"LPL","Lipoprotein Lipase","Protein Coding","49","GC08P019901","20.4468116760254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"PLIN1","Perilipin 1","Protein Coding","44","GC15M089664","20.3204574584961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","44","GC16P068427","20.0667724609375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","47","GC07P106865","20.0584030151367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","49","GC02M161992","19.9530639648438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"APOB","Apolipoprotein B","Protein Coding","45","GC02M020956","19.6694393157959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"ITPR3","Inositol 1,4,5-Trisphosphate Receptor Type 3","Protein Coding","45","GC06P033620","19.4698143005371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR3"
"MIR29C","MicroRNA 29c","RNA Gene","19","GC01M207802","19.4397621154785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"NSMCE2","NSE2 (MMS21) Homolog, SMC5-SMC6 Complex SUMO Ligase","Protein Coding","38","GC08P125091","19.3178234100342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE2"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","50","GC19M041301","19.2693901062012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","51","GC01M042925","19.2630653381348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"CEL","Carboxyl Ester Lipase","Protein Coding","47","GC09P133061","19.1774196624756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL"
"INSL6","Insulin Like 6","Protein Coding","35","GC09M004991","19.1153125762939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL6"
"FOXO1","Forkhead Box O1","Protein Coding","48","GC13M040555","18.934045791626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1"
"AIRE","Autoimmune Regulator","Protein Coding","44","GC21P044285","18.6487216949463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"GLP1R","Glucagon Like Peptide 1 Receptor","Protein Coding","46","GC06P039048","18.5867176055908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP1R"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","3","GC02U903086","18.391170501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","52","GC01M011106","18.1765022277832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","50","GC10P089442","18.1118240356445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"EGF","Epidermal Growth Factor","Protein Coding","50","GC04P109912","18.096492767334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"MEN1","Menin 1","Protein Coding","45","GC11M064803","18.0806541442871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","45","GC04M023755","18.0781211853027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"CAVIN1","Caveolae Associated Protein 1","Protein Coding","32","GC17M042404","18.0425987243652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAVIN1"
"GIP","Gastric Inhibitory Polypeptide","Protein Coding","38","GC17M048958","17.9201927185059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIP"
"APOA5","Apolipoprotein A5","Protein Coding","44","GC11M116789","17.8974761962891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","48","GC15M051208","17.8863677978516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","39","GC01P156242","17.8482837677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","17.572301864624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"INSIG1","Insulin Induced Gene 1","Protein Coding","40","GC07P155297","17.468994140625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSIG1"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","44","GC08M037962","17.4646644592285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"SLC29A3","Solute Carrier Family 29 Member 3","Protein Coding","43","GC10P071320","17.2459373474121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC29A3"
"RPS6KB1","Ribosomal Protein S6 Kinase B1","Protein Coding","48","GC17P059893","17.2004699707031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1"
"GHRHR","Growth Hormone Releasing Hormone Receptor","Protein Coding","43","GC07P030938","17.0746784210205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRHR"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","45","GC22P046150","17.063850402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","42","GC06M059121","17.0236225128174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"APOA1","Apolipoprotein A1","Protein Coding","48","GC11M116835","16.9812469482422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"GAD2","Glutamate Decarboxylase 2","Protein Coding","44","GC10P026216","16.9667205810547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD2"
"APOE","Apolipoprotein E","Protein Coding","49","GC19P047219","16.882266998291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"CPE","Carboxypeptidase E","Protein Coding","45","GC04P165361","16.8425178527832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPE"
"AIR","Acute Insulin Response (2)","Genetic Locus","2","GC01U990199","16.8046092987061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIR"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","46","GC07M106248","16.7390174865723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"IL1B","Interleukin 1 Beta","Protein Coding","46","GC02M112829","16.6566963195801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"CIDEC","Cell Death Inducing DFFA Like Effector C","Protein Coding","40","GC03M009866","16.5992431640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIDEC"
"IL10","Interleukin 10","Protein Coding","46","GC01M206767","16.5798416137695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"LOC109623489","Insulin Repeat Instability Region","Biological Region","1","GC11P002164","16.5002746582031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109623489"
"GRB10","Growth Factor Receptor Bound Protein 10","Protein Coding","41","GC07M050590","16.4976272583008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB10"
"RFX6","Regulatory Factor X6","Protein Coding","40","GC06P116877","16.4248600006104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX6"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","40","GC08P144502","16.3011779785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","47","GC06P043770","16.2763652801514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"MT-TL1","Mitochondrially Encoded TRNA-Leu (UUA/G) 1","RNA Gene","16","GCMTP003232","16.2292728424072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","49","GC14P075278","16.214054107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"MAPK10","Mitogen-Activated Protein Kinase 10","Protein Coding","49","GC04M085990","16.107666015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","45","GC03P046383","16.0762538909912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"HFE","Homeostatic Iron Regulator","Protein Coding","43","GC06P026087","16.0020637512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"AR","Androgen Receptor","Protein Coding","51","GC0XP067544","15.9736661911011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"NIDDM2","Non Insulin Dependent Diabetes Mellitus 2","Genetic Locus","3","GC12U990063","15.9649381637573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIDDM2"
"GRB14","Growth Factor Receptor Bound Protein 14","Protein Coding","43","GC02M164492","15.792329788208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB14"
"CELA2A","Chymotrypsin Like Elastase 2A","Protein Coding","39","GC01P015456","15.7529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELA2A"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","49","GC01P209686","15.6753349304199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"GAD1","Glutamate Decarboxylase 1","Protein Coding","49","GC02P170813","15.620153427124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD1"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","50","GC07P150990","15.5105781555176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"PCSK1","Proprotein Convertase Subtilisin/Kexin Type 1","Protein Coding","48","GC05M096391","15.4790439605713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK1"
"GLUD1","Glutamate Dehydrogenase 1","Protein Coding","49","GC10M087050","15.4691047668457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD1"
"PAPPA","Pappalysin 1","Protein Coding","42","GC09P118050","15.4433994293213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","47","GC17P034255","15.4048433303833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"LNPEP","Leucyl And Cystinyl Aminopeptidase","Protein Coding","45","GC05P096935","15.3953123092651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNPEP"
"POMC","Proopiomelanocortin","Protein Coding","47","GC02M025160","15.3950452804565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","15.344183921814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"SPINK1","Serine Peptidase Inhibitor Kazal Type 1","Protein Coding","42","GC05M147825","15.2144622802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK1"
"SOCS3","Suppressor Of Cytokine Signaling 3","Protein Coding","42","GC17M078356","15.1470069885254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS3"
"XRCC4","X-Ray Repair Cross Complementing 4","Protein Coding","42","GC05P083077","15.1436252593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC4"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","51","GC03P179148","15.0910062789917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"EIF2AK3","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3","Protein Coding","48","GC02M088556","15.0746755599976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3"
"IFNG","Interferon Gamma","Protein Coding","47","GC12M068154","15.0331354141235","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"ADIPOR1","Adiponectin Receptor 1","Protein Coding","44","GC01M202940","14.9815893173218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1"
"ACP1","Acid Phosphatase 1","Protein Coding","42","GC02P000275","14.8155422210693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1"
"IL4","Interleukin 4","Protein Coding","44","GC05P132673","14.8137664794922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"HLA-DQA1","Major Histocompatibility Complex, Class II, DQ Alpha 1","Protein Coding","42","GC06P073422","14.8009471893311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1"
